Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,Team
Zander Clark,sct SCO,GK,33.0,2,2,180.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Cameron Devlin,au AUS,MF,27.0,2,2,180.0,0.0,0.0,0.0,1.0,0.0,Heart-of-Midlothian
Stuart Findlay,sct SCO,DF,29.0,2,2,180.0,3.0,0.0,0.0,1.0,0.0,Heart-of-Midlothian
Craig Halkett,sct SCO,DF,30.0,2,2,180.0,0.0,0.0,0.0,1.0,0.0,Heart-of-Midlothian
Oisin McEntee,ie IRL,MF,24.0,2,2,180.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Lawrence Shankland,sct SCO,FW,30.0,2,2,179.0,1.0,0.0,1.0,0.0,0.0,Heart-of-Midlothian
Harry Milne,sct SCO,MF,28.0,2,2,166.0,0.0,1.0,0.0,1.0,0.0,Heart-of-Midlothian
Cláudio Braga,pt POR,FW,25.0,2,2,153.0,0.0,0.0,0.0,1.0,0.0,Heart-of-Midlothian
Blair Spittal,sct SCO,MF,29.0,2,2,131.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Frankie Kent,eng ENG,DF,29.0,2,2,114.0,0.0,0.0,0.0,1.0,0.0,Heart-of-Midlothian
Christian Borchgrevink,no NOR,MF,26.0,1,1,69.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Alan Forrest,sct SCO,MF,28.0,2,1,66.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Alexandros Kyziridis,gr GRE,MF,24.0,2,0,66.0,0.0,1.0,0.0,1.0,0.0,Heart-of-Midlothian
Michael Steinwender,at AUT,DF,25.0,2,0,66.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Sabah Kerjota,al ALB,FW,24.0,1,0,28.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
James Wilson,sct SCO,FW,18.0,2,0,27.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Stephen Kingsley,sct SCO,DF,31.0,1,0,14.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Tómas Bent Magnússon,is ISL,MF,23.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,Heart-of-Midlothian
Ryan Fulton,sct SCO,GK,29.0,0,0,,,,,,,Heart-of-Midlothian
Elton Kabangu,be BEL,"FW,MF",27.0,0,0,,,,,,,Heart-of-Midlothian
Pierre Kaboré,bf BFA,FW,24.0,0,0,,,,,,,Heart-of-Midlothian
Sander Kartum,no NOR,MF,29.0,0,0,,,,,,,Heart-of-Midlothian
Cameron Carter-Vickers,us USA,DF,27.0,2,2,180.0,0.0,0.0,0.0,0.0,0.0,Celtic
Daizen Maeda,jp JPN,FW,27.0,2,2,180.0,0.0,1.0,0.0,0.0,0.0,Celtic
